Quarter,OffTeam,Down,Distance,OffenseFormation,DefendersInTheBox,Week,StadiumType,Turf,GameWeather,Temperature,Humidity,WindSpeed,Type,DefTeam,Time Left in Quarter,Distance for TD,ScoreDifference,PosTeamHome,NumQB,NumRB,NumWR,NumTE,NumOL,NumDL,NumLB,NumDB,NumDOther
2,PHI,3,1,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,10.216666666666667,22,-3.0,1,1,1,3,1,5,3,3,5,0
2,PHI,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,9.7,20,-3.0,1,1,1,3,1,5,3,3,5,0
2,PHI,2,19,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,7.616666666666667,19,-3.0,1,1,1,3,1,5,4,2,5,0
2,ATL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,6.15,75,0.0,0,1,2,2,1,5,4,2,5,0
2,ATL,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,4.983333333333333,51,0.0,0,1,1,3,1,5,4,2,5,0
3,PHI,2,2,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,14.35,67,-3.0,1,1,1,3,1,5,3,3,5,0
3,PHI,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,13.65,59,-3.0,1,1,1,3,1,5,3,3,5,0
3,ATL,1,10,SHOTGUN,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,12.416666666666666,80,3.0,0,1,1,2,2,5,4,3,4,0
3,PHI,3,1,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,8.816666666666666,54,-3.0,1,1,1,1,2,6,4,3,4,0
3,PHI,2,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,8.066666666666666,46,-3.0,1,1,1,3,1,5,3,3,5,0
3,PHI,2,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,6.7,26,-3.0,1,1,1,3,1,5,4,2,5,0
3,PHI,1,6,SINGLEBACK,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,5.25,6,-3.0,1,1,1,3,1,5,3,3,5,0
3,PHI,2,1,SHOTGUN,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,4.683333333333334,1,-3.0,1,1,1,2,2,5,3,3,5,0
3,ATL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,4.616666666666667,60,-4.0,0,1,1,1,3,5,4,3,4,0
3,PHI,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,2.533333333333333,84,4.0,1,1,1,1,2,6,4,3,4,0
3,ATL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,1.3166666666666667,74,-4.0,0,1,2,2,1,5,4,3,4,0
4,ATL,1,10,EMPTY,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,14.466666666666667,22,-4.0,0,1,1,3,1,5,4,2,5,0
4,ATL,2,5,I_FORM,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,13.766666666666667,17,-4.0,0,1,2,1,2,5,4,3,4,0
4,PHI,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,12.966666666666667,96,4.0,1,1,1,1,2,6,4,3,4,0
4,PHI,2,6,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,12.266666666666667,92,4.0,1,1,1,3,1,5,4,2,5,0
4,PHI,3,1,SINGLEBACK,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,11.516666666666667,87,4.0,1,1,1,3,1,5,4,2,5,0
4,ATL,1,9,I_FORM,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,9.883333333333333,9,-4.0,0,1,2,1,2,5,4,3,4,0
4,PHI,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,9.8,75,-2.0,1,1,1,3,1,5,3,3,5,0
4,PHI,2,3,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,9.216666666666667,68,-2.0,1,1,1,3,1,5,3,3,5,0
4,PHI,2,4,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,4.4,37,-2.0,1,1,1,3,1,5,3,3,5,0
4,PHI,3,2,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,3.95,35,-2.0,1,1,1,3,1,5,3,3,5,0
4,PHI,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,3.1666666666666665,14,-2.0,1,1,1,3,1,5,3,3,5,0
4,PHI,2,7,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,2.4166666666666665,11,-2.0,1,1,1,2,1,6,4,3,4,0
1,BAL,1,5,WILDCAT,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,10.6,15,0.0,1,2,1,1,2,5,4,2,5,0
1,BAL,1,8,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,8.816666666666666,8,0.0,1,1,1,1,2,6,4,3,4,0
1,BUF,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,8.633333333333333,68,-7.0,0,1,1,3,1,5,2,4,5,0
1,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,7.216666666666667,75,7.0,1,1,1,2,2,5,4,3,4,0
1,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,5.516666666666667,66,7.0,1,1,1,2,2,5,4,3,4,0
1,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,4.083333333333333,23,7.0,1,1,1,1,2,6,4,3,4,0
1,BUF,2,24,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,0.4666666666666667,89,-14.0,0,1,1,3,1,5,1,4,6,0
2,BUF,3,22,SHOTGUN,4.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,15.0,87,-14.0,0,1,1,3,1,5,1,4,6,0
2,BAL,2,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,14.0,20,14.0,1,1,1,2,2,5,4,3,4,0
2,BUF,2,6,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,12.65,71,-17.0,0,1,1,3,1,5,3,3,5,0
2,BAL,2,10,SINGLEBACK,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,11.183333333333334,70,17.0,1,2,1,2,1,5,4,2,5,0
2,BAL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,10.383333333333333,60,17.0,1,1,1,2,2,5,4,3,4,0
2,BUF,2,5,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,10.15,30,-17.0,0,1,1,3,1,5,2,4,5,0
2,BAL,2,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,5.5,29,17.0,1,1,1,3,1,5,4,2,5,0
2,BUF,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,4.166666666666667,75,-20.0,0,1,1,3,1,5,2,4,5,0
3,BUF,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,15.0,75,-26.0,0,1,1,3,1,5,3,3,5,0
3,BUF,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,14.55,63,-26.0,0,1,1,3,1,5,3,3,5,0
3,BAL,2,4,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,13.266666666666667,8,26.0,1,1,1,1,2,6,4,3,4,0
3,BAL,1,1,JUMBO,11.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,11.433333333333334,1,33.0,1,1,2,0,3,5,6,3,2,0
3,BUF,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,11.366666666666667,75,-40.0,0,1,1,2,2,5,3,4,4,0
3,BAL,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,10.016666666666667,70,40.0,1,1,1,3,1,5,4,2,5,0
3,BUF,2,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,7.05,38,-40.0,0,1,1,2,2,5,2,4,5,0
3,BUF,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,6.133333333333334,21,-40.0,0,1,1,2,2,5,2,4,5,0
3,BUF,1,8,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,4.85,8,-40.0,0,1,1,3,1,5,2,4,5,0
3,BAL,1,10,SHOTGUN,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,2.6333333333333333,75,37.0,1,1,1,3,1,5,4,2,5,0
3,BAL,2,6,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,2.1666666666666665,71,37.0,1,1,1,3,1,5,4,2,5,0
3,BAL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,0.7333333333333333,64,37.0,1,1,1,1,2,6,4,3,4,0
4,BUF,2,8,SINGLEBACK,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,12.683333333333334,65,-37.0,0,1,1,3,1,5,2,4,5,0
4,BAL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,11.916666666666666,89,37.0,1,1,1,1,3,5,4,3,4,0
4,BAL,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,11.25,74,37.0,1,1,1,1,3,5,4,3,4,0
4,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,9.966666666666667,63,37.0,1,1,1,1,2,6,4,3,4,0
4,BAL,2,2,I_FORM,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,9.283333333333333,55,37.0,1,1,1,1,2,6,4,3,4,0
4,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,8.5,52,37.0,1,1,1,1,2,6,4,3,4,0
4,BAL,2,3,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,7.8,45,37.0,1,1,1,1,2,6,4,3,4,0
4,BAL,2,11,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,6.0,42,37.0,1,1,1,3,1,5,4,2,5,0
4,BAL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,4.75,22,37.0,1,1,1,1,2,6,4,3,4,0
4,BAL,1,2,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,3.9166666666666665,2,37.0,1,1,1,3,1,5,4,2,5,0
4,BUF,2,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,3.6166666666666667,51,-44.0,0,1,1,3,1,5,2,4,5,0
4,BAL,2,11,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,2.3333333333333335,91,44.0,1,1,1,1,2,6,4,3,4,0
4,BAL,3,4,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BUF,2.0,84,44.0,1,1,1,3,1,5,4,2,5,0
4,BUF,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,1.4666666666666668,71,-44.0,0,1,1,3,1,5,2,4,5,0
4,BUF,2,10,SHOTGUN,4.0,1.0,Outdoor,Grass,Rain,61.0,97.0,12.0,run,BAL,0.08333333333333333,34,-44.0,0,1,1,3,1,5,2,4,5,0
1,PIT,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,15.0,75,0.0,0,1,1,1,2,6,4,3,4,0
1,CLE,2,10,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,10.85,52,0.0,1,1,1,2,2,5,3,4,4,0
1,PIT,1,10,I_FORM,9.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,9.483333333333333,68,0.0,0,1,2,1,2,5,4,3,4,0
1,PIT,1,10,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,8.8,58,0.0,0,1,1,2,2,5,4,3,4,0
1,CLE,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,5.366666666666666,90,0.0,1,1,1,1,2,6,3,4,4,0
1,CLE,2,7,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,4.866666666666667,87,0.0,1,1,1,1,3,5,3,4,4,0
1,CLE,3,7,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,4.3,87,0.0,1,1,1,3,1,5,2,2,7,0
1,CLE,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,3.716666666666667,74,0.0,1,1,1,1,2,6,3,4,4,0
1,PIT,1,10,I_FORM,9.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,1.9166666666666665,88,0.0,0,1,2,1,1,6,4,3,4,0
1,PIT,2,6,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,1.2666666666666666,84,0.0,0,1,2,1,1,6,4,3,4,0
2,PIT,2,14,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,14.283333333333333,47,0.0,0,1,0,4,1,5,3,3,5,0
2,PIT,1,4,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,11.316666666666666,4,0.0,0,1,1,3,1,5,4,2,5,0
2,CLE,1,10,PISTOL,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,11.266666666666667,75,-7.0,1,1,2,2,1,5,2,4,5,0
2,CLE,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,9.116666666666667,37,-7.0,1,1,1,2,2,5,3,4,4,0
2,CLE,2,5,SINGLEBACK,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,8.45,32,-7.0,1,1,1,2,2,5,3,4,4,0
2,CLE,1,10,WILDCAT,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,5.833333333333333,57,-7.0,1,1,1,3,1,5,2,4,5,0
2,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,4.4,46,-7.0,1,1,1,3,1,5,2,4,5,0
2,CLE,3,17,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,3.2333333333333334,53,-7.0,1,1,1,3,1,5,2,3,6,0
2,PIT,1,10,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,1.9666666666666668,65,7.0,0,1,1,3,1,5,3,3,5,0
2,PIT,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,1.4166666666666667,53,7.0,0,1,1,3,1,5,3,3,5,0
2,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,0.7,45,-7.0,1,1,1,3,1,5,2,4,5,0
3,CLE,2,20,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,14.266666666666667,96,-7.0,1,1,1,1,3,5,3,4,4,0
3,CLE,1,10,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,13.833333333333334,87,-7.0,1,1,1,1,3,5,3,4,4,0
3,CLE,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,13.7,69,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,2,1,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,12.966666666666667,60,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,1,10,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,12.466666666666667,48,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,2,4,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,11.933333333333334,42,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,1,10,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,11.35,37,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,10.866666666666667,20,-7.0,1,1,1,2,2,5,3,4,4,0
3,PIT,1,7,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,9.35,7,0.0,0,1,1,3,1,5,4,2,5,0
3,CLE,2,2,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,8.066666666666666,84,-7.0,1,1,1,2,2,5,3,4,4,0
3,CLE,2,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,7.516666666666667,79,-7.0,1,1,1,3,1,5,2,4,5,0
3,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,6.133333333333334,39,7.0,0,1,2,1,1,6,4,3,4,0
3,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,5.483333333333333,22,7.0,0,1,2,1,1,6,4,3,4,0
3,CLE,2,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,5.266666666666667,89,-14.0,1,1,1,2,2,5,3,4,4,0
3,PIT,1,10,WILDCAT,9.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,3.45,86,14.0,0,1,2,1,1,6,4,3,4,0
3,PIT,2,6,I_FORM,9.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,2.8166666666666664,82,14.0,0,1,2,1,1,6,4,3,4,0
3,PIT,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,1.55,74,14.0,0,1,1,3,1,5,3,3,5,0
3,PIT,2,5,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,0.9,69,14.0,0,1,1,3,1,5,3,3,5,0
4,PIT,2,10,SHOTGUN,5.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,14.933333333333334,49,14.0,0,1,1,3,1,5,3,3,5,0
4,PIT,2,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,13.583333333333334,38,14.0,0,1,1,3,1,5,4,3,4,0
4,PIT,3,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,12.883333333333333,38,14.0,0,1,1,3,1,5,3,3,5,0
4,PIT,1,10,WILDCAT,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,10.833333333333334,86,14.0,0,1,1,1,2,6,4,3,4,0
4,PIT,1,16,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,10.3,92,14.0,0,1,2,1,1,6,4,3,4,0
4,PIT,2,15,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,9.683333333333334,91,14.0,0,1,1,3,1,5,4,2,5,0
4,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,7.733333333333333,82,14.0,0,1,2,1,1,6,4,3,4,0
4,CLE,1,1,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,7.6,1,-14.0,1,1,1,1,2,6,3,4,4,0
4,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,6.683333333333334,37,-7.0,1,1,1,3,1,5,2,4,5,0
4,CLE,2,9,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,6.066666666666666,36,-7.0,1,1,1,2,2,5,3,4,4,0
4,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,5.233333333333333,95,7.0,0,1,2,1,1,6,4,3,4,0
4,PIT,2,3,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,4.65,88,7.0,0,1,2,1,1,6,4,3,4,0
4,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,3.8833333333333333,83,7.0,0,1,2,1,1,6,4,3,4,0
4,PIT,2,9,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,3.216666666666667,82,7.0,0,1,2,1,1,6,4,3,4,0
4,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,1.4833333333333334,71,0.0,1,1,1,3,1,5,2,3,6,0
5,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,10.0,75,0.0,1,1,1,3,1,5,2,4,5,0
5,PIT,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,8.716666666666667,83,0.0,0,1,1,3,1,5,3,3,5,0
5,CLE,1,10,SHOTGUN,6.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,5.483333333333333,81,0.0,1,1,1,3,1,5,2,4,5,0
5,PIT,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,3.8333333333333335,43,0.0,0,1,1,3,1,5,3,3,5,0
5,PIT,1,10,I_FORM,8.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,2.45,31,0.0,0,1,2,1,1,6,4,3,4,0
5,PIT,2,7,I_FORM,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,CLE,2.0,28,0.0,0,1,2,1,1,6,4,3,4,0
5,CLE,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Rain,58.0,84.0,11.0,run,PIT,0.6,24,0.0,1,1,1,2,2,5,3,4,4,0
1,CIN,1,10,SINGLEBACK,6.0,1.0,Indoor,Turf,Cloudy,59.0,91.0,11.0,run,IND,14.883333333333333,70,0.0,0,1,1,3,1,5,4,2,5,0
1,IND,1,7,SINGLEBACK,7.0,1.0,Indoor,Turf,Cloudy,59.0,91.0,11.0,run,CIN,14.016666666666667,7,0.0,1,1,1,1,2,6,4,3,4,0
1,CIN,1,10,SINGLEBACK,6.0,1.0,Indoor,Turf,Cloudy,59.0,91.0,11.0,run,IND,13.166666666666666,93,0.0,0,1,1,2,2,5,4,3,4,0
1,CIN,1,10,SINGLEBACK,6.0,1.0,Indoor,Turf,Cloudy,59.0,91.0,11.0,run,IND,11.916666666666666,60,0.0,0,1,1,2,2,5,4,3,4,0
